noise,label,rule,baselineClass,noiseClass,baselineDistribution,noiseDistribution,changed
0.001,"Sample 59","B01236/S012578","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 60","B348/S023468","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 61","B1457/S01567","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 62","B237/S0134567","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 63","B014568/S2467","Expanding","Expanding","Expanding: 100%","Expanding: 100%",false
0.001,"Sample 64","B0123578/S0145","Periodic","Disordered","Periodic: 100%","Disordered: 100%",true
0.001,"Sample 65","B1268/S34","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 66","B3458/S0347","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 67","B56/S7","Extinct","Bounded Dynamic","Extinct: 100%","Bounded Dynamic: 100%",true
0.001,"Sample 68","B3478/S067","Periodic","Bounded Dynamic","Periodic: 100%","Bounded Dynamic: 100%",true
0.001,"Sample 69","B023467/S05","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 70","B1457/S2457","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 71","B12357/S456","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 72","B028/S1234578","Frozen","Bounded Dynamic","Frozen: 100%","Bounded Dynamic: 100%",true
0.001,"Sample 73","B3678/S2348","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 74","B047/S02378","Structured Dynamic","Structured Dynamic","Structured Dynamic: 100%","Structured Dynamic: 100%",false
0.001,"Sample 75","B2457/S1235678","Periodic","Bounded Dynamic","Periodic: 100%","Bounded Dynamic: 100%",true
0.001,"Sample 76","B01346/S013568","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 77","B0347/S2567","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 78","B134/S123578","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 79","B0234678/S12567","Expanding","Expanding","Expanding: 100%","Expanding: 100%",false
0.001,"Sample 80","B2568/S0156","Structured Dynamic","Structured Dynamic","Structured Dynamic: 100%","Structured Dynamic: 100%",false
0.001,"Sample 81","B17/S2348","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 82","B012/S02457","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 83","B0123468/S145","Periodic","Disordered","Periodic: 100%","Disordered: 100%",true
0.001,"Sample 84","B012357/S023467","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 85","B01248/S0358","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 86","B568/S016","Frozen","Bounded Dynamic","Frozen: 100%","Bounded Dynamic: 100%",true
0.001,"Sample 87","B012456/S0137","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 88","B016/S128","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 89","B012348/S2346","Periodic","Disordered","Periodic: 100%","Disordered: 100%",true
0.001,"Sample 90","B345678/S012368","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 91","B013578/S147","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 92","B127/S14568","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 93","B13568/S015678","Periodic","Bounded Dynamic","Periodic: 100%","Bounded Dynamic: 100%",true
0.001,"Sample 94","B0235/S0123","Periodic","Disordered","Periodic: 100%","Disordered: 100%",true
0.001,"Sample 95","B568/S0135","Frozen","Bounded Dynamic","Frozen: 100%","Bounded Dynamic: 100%",true
0.001,"Sample 96","B01567/S17","Structured Dynamic","Structured Dynamic","Structured Dynamic: 100%","Structured Dynamic: 100%",false
0.001,"Sample 97","B01357/S0148","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 98","B1258/S03678","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.005,"Conway Life","B3/S23","Structured Dynamic","Structured Dynamic","Structured Dynamic: 100%","Structured Dynamic: 100%",false
0.005,"HighLife","B36/S23","Structured Dynamic","Structured Dynamic","Structured Dynamic: 100%","Structured Dynamic: 100%",false
0.005,"Sample 01","B23678/S348","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.005,"Sample 02","B0467/S02356","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.005,"Sample 03","B01348/S018","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.005,"Sample 04","B234/S0135","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.005,"Sample 05","B045678/S678","Structured Dynamic","Structured Dynamic","Structured Dynamic: 100%","Structured Dynamic: 100%",false
0.005,"Sample 06","B3467/S0356","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.005,"Sample 07","B0378/S12368","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.005,"Sample 08","B36/S06","Periodic","Structured Dynamic","Periodic: 100%","Structured Dynamic: 100%",true
0.005,"Sample 09","B1234567/S56","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.005,"Sample 10","B13568/S13567","Expanding","Expanding","Expanding: 100%","Expanding: 100%",false
0.005,"Sample 11","B01467/S0134","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.005,"Sample 12","B1578/S035678","Periodic","Expanding","Periodic: 100%","Expanding: 100%",true
0.005,"Sample 13","B1235678/S013578","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.005,"Sample 14","B0346/S1235","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.005,"Sample 15","B24567/S03467","Expanding","Expanding","Expanding: 100%","Expanding: 100%",false
0.005,"Sample 16","B1245/S2358","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.005,"Sample 17","B0123678/S035","Periodic","Disordered","Periodic: 100%","Disordered: 100%",true
0.005,"Sample 18","B12457/S2367","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.005,"Sample 19","B03568/S4568","Expanding","Expanding","Expanding: 100%","Expanding: 100%",false
0.005,"Sample 20","B378/S01678","Periodic","Structured Dynamic","Periodic: 100%","Structured Dynamic: 100%",true
0.005,"Sample 21","B0268/S346","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.005,"Sample 22","B02468/S0245678","Frozen","Bounded Dynamic","Frozen: 100%","Bounded Dynamic: 100%",true
0.005,"Sample 23","B056/S1278","Structured Dynamic","Structured Dynamic","Structured Dynamic: 100%","Structured Dynamic: 100%",false
0.005,"Sample 24","B13678/S03458","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.005,"Sample 25","B234/S2345","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
